Tidspunkt,Luftfuktighet (%),pressure,temperature_aht20,temperature_bmp280,tvoc
2025-03-08 16:00:00+00:00,35.57482,101.5308,18.83621,18.56026,1.0
2025-03-08 17:00:00+00:00,35.48212,101.5055,18.90736,18.64338,1.0
2025-03-08 18:00:00+00:00,35.85358,101.5063,18.47515,18.17865,1.0
2025-03-08 19:00:00+00:00,36.06663,101.5303,17.98935,17.67922,1.0
2025-03-08 20:00:00+00:00,36.34329,101.5392,18.02464,17.71638,1.0
2025-03-08 21:00:00+00:00,36.11012,101.5386,18.16521,17.84738,1.0
2025-03-08 22:00:00+00:00,35.95867,101.5149,18.16921,17.89461,1.0
2025-03-08 23:00:00+00:00,36.01084,101.4739,18.1942,17.90784,1.0
2025-03-09 00:00:00+00:00,35.96983,101.457,18.22338,17.94185,1.0
2025-03-09 01:00:00+00:00,35.87589,101.4317,18.18008,17.90469,1.0
2025-03-09 02:00:00+00:00,35.97126,101.3701,18.17551,17.87257,1.0
2025-03-09 03:00:00+00:00,36.14607,101.3251,18.0294,17.73968,1.0
2025-03-09 04:00:00+00:00,36.23886,101.2795,17.91439,17.62379,1.0
2025-03-09 05:00:00+00:00,36.15932,101.2399,17.90752,17.62253,1.0
2025-03-09 06:00:00+00:00,36.3306,101.2168,17.52357,17.23264,1.0
2025-03-09 07:00:00+00:00,36.71188,101.2266,17.26036,16.94603,1.0
2025-03-09 08:00:00+00:00,36.74955,101.209,17.29107,16.96556,1.0
2025-03-09 09:00:00+00:00,36.34901,101.1833,17.37728,17.06886,1.0
2025-03-09 10:00:00+00:00,35.97136,101.1422,17.59624,17.24713,1.0
2025-03-09 11:00:00+00:00,35.65826,101.0915,17.54704,17.25406,1.0
2025-03-09 12:00:00+00:00,35.10847,101.0255,18.01739,17.71008,1.0
2025-03-09 13:00:00+00:00,35.11896,100.9765,18.13393,17.81841,1.0
2025-03-09 14:00:00+00:00,34.70354,100.9099,18.38665,18.08166,1.0
2025-03-09 15:00:00+00:00,34.75103,100.8256,18.41755,18.1333,1.0
2025-03-09 16:00:00+00:00,35.34775,100.7682,18.20698,17.90973,1.0
2025-03-09 17:00:00+00:00,35.69679,100.7205,17.976,17.68551,1.0
2025-03-09 18:00:00+00:00,35.98385,100.7111,17.85698,17.55703,1.0
2025-03-09 19:00:00+00:00,36.30457,100.6803,17.67025,17.37311,1.0
2025-03-09 20:00:00+00:00,36.4212,100.6609,17.67902,17.35043,1.0
2025-03-09 21:00:00+00:00,36.32708,100.6545,17.61971,17.33657,1.0
2025-03-09 22:00:00+00:00,36.18212,100.6271,17.59186,17.31453,1.0
2025-03-09 23:00:00+00:00,36.22026,100.5904,17.49439,17.18729,1.0
2025-03-10 00:00:00+00:00,36.18231,100.539,17.39864,17.10414,1.0
2025-03-10 01:00:00+00:00,35.85014,100.4748,17.12761,16.82886,1.0
2025-03-10 02:00:00+00:00,35.96859,100.4091,17.11006,16.79484,1.0
2025-03-10 03:00:00+00:00,36.03506,100.3633,17.01775,16.6909,0.0
2025-03-10 04:00:00+00:00,35.72645,100.3162,17.09194,16.7772,0.0
2025-03-10 05:00:00+00:00,37.32777,100.2863,14.59694,14.11542,0.0
2025-03-10 06:00:00+00:00,37.23345,100.2742,14.46114,14.03411,0.0
2025-03-10 07:00:00+00:00,37.63313,100.2766,16.24603,15.91974,0.0
